incident_type,severity,affected_people,injured_people,trapped_people,vulnerable_people,children_count,elderly_count,waiting_time_hours,priority_level
Flood,critical,214,0,0,37,24,14,20.4,high
Fire,low,6,0,0,1,0,1,40.6,low
Structural Collapse,low,49,17,0,13,7,4,4.8,high
Fire,medium,30,0,17,3,7,6,42.3,high
Fire,low,11,0,0,2,0,0,16.1,low
Structural Collapse,low,37,2,0,7,12,6,21.3,medium
Earthquake,medium,12,0,0,0,1,2,35.8,medium
Fire,high,121,0,0,29,40,14,37.9,high
Chemical Spill,high,147,0,0,26,32,1,25.5,high
Chemical Spill,low,13,6,0,2,0,2,8.1,low
Chemical Spill,high,181,0,0,7,53,30,34.5,high
Structural Collapse,medium,48,12,0,8,15,9,2.9,high
Flood,medium,41,0,0,12,2,0,8.1,low
Flood,high,37,8,0,6,2,5,30.3,high
Chemical Spill,medium,3,3,0,0,0,0,0.9,low
Earthquake,high,114,1,28,4,22,3,36.8,critical
Medical,critical,103,0,0,3,6,16,16.1,high
Structural Collapse,low,33,0,0,8,11,3,2.5,low
Medical,low,33,0,10,1,12,6,3.2,low
Structural Collapse,medium,21,0,0,3,7,4,37.9,medium
Medical,critical,304,0,0,17,22,53,0.5,medium
Earthquake,critical,54,5,0,5,8,10,4.2,high
Flood,high,78,0,0,5,8,12,25.2,medium
Fire,low,4,4,3,0,0,0,17.9,high
Chemical Spill,low,25,0,0,5,6,3,16.8,low
Medical,medium,25,13,0,5,8,5,10.7,high
Flood,low,17,12,0,0,0,2,31.9,medium
Medical,high,153,146,0,28,59,27,42.6,critical
Chemical Spill,critical,285,0,0,15,100,41,34.6,high
Earthquake,critical,34,0,0,10,10,4,34.0,medium
Fire,high,145,0,0,22,8,1,3.4,medium
Structural Collapse,high,161,0,0,25,36,13,40.6,high
Medical,critical,99,0,11,0,9,3,31.4,high
Medical,low,39,0,0,4,13,4,20.7,low
Fire,low,4,0,1,0,0,0,21.8,low
Medical,medium,5,1,0,0,2,1,6.5,low
Structural Collapse,medium,49,0,0,0,15,0,29.3,medium
Earthquake,critical,120,0,0,18,28,21,2.2,medium
Medical,critical,56,28,24,15,5,10,12.5,critical
Medical,critical,357,0,263,26,62,24,26.9,critical
Chemical Spill,high,114,0,0,9,16,3,47.1,high
Medical,critical,146,0,49,12,54,2,3.3,critical
Medical,low,40,0,0,7,14,6,22.2,low
Chemical Spill,critical,227,142,0,47,7,12,0.3,critical
Structural Collapse,low,6,0,0,0,2,0,39.3,low
Chemical Spill,low,1,0,0,0,0,0,27.4,low
Structural Collapse,low,1,0,0,0,0,0,44.7,low
Chemical Spill,low,45,0,0,13,14,7,4.3,low
Flood,low,36,0,0,3,2,4,24.8,low
Earthquake,low,0,0,0,0,0,0,25.7,low
Medical,critical,351,0,113,58,37,32,33.2,critical
Earthquake,low,39,23,0,4,12,2,25.5,high
Chemical Spill,medium,44,3,0,7,4,1,37.5,high
Earthquake,critical,281,0,0,57,30,35,30.3,high
Structural Collapse,medium,6,0,0,1,1,1,4.0,low
Earthquake,low,30,0,0,8,9,0,7.2,low
Flood,low,18,0,0,5,7,2,11.9,low
Flood,high,71,0,0,5,25,7,26.9,medium
Fire,medium,19,0,0,0,7,2,1.4,low
Structural Collapse,low,39,0,0,5,4,2,13.0,low
Medical,low,43,25,0,4,4,8,11.8,critical
Structural Collapse,low,2,0,2,0,0,0,0.0,medium
Chemical Spill,medium,20,0,15,6,0,2,29.5,high
Medical,low,12,0,0,1,2,0,7.6,low
Medical,low,49,9,0,13,12,1,36.6,high
Fire,medium,14,5,0,2,3,1,8.9,high
Flood,medium,9,5,0,1,0,1,9.9,medium
Chemical Spill,low,38,16,33,10,8,4,6.8,critical
Structural Collapse,medium,24,7,0,3,9,0,7.9,high
Flood,medium,34,0,31,7,3,1,15.5,critical
Earthquake,medium,23,6,0,5,7,4,19.1,high
Medical,low,44,22,0,12,16,4,29.2,high
Structural Collapse,low,13,9,6,3,0,2,33.4,critical
Structural Collapse,medium,20,0,0,6,5,3,0.0,low
Fire,critical,231,205,0,16,83,35,26.8,critical
Structural Collapse,low,4,0,2,0,1,0,47.4,low
Chemical Spill,critical,276,0,0,20,68,47,39.9,high
Fire,high,156,0,0,7,57,2,40.5,high
Fire,low,17,0,0,5,3,2,47.6,low
Fire,high,67,15,0,13,25,3,4.7,high
Earthquake,high,148,94,141,38,27,27,0.7,critical
Earthquake,medium,29,19,0,2,0,4,13.7,critical
Chemical Spill,critical,214,104,198,36,3,1,23.6,critical
Structural Collapse,high,158,0,132,9,17,14,2.9,critical
Fire,critical,240,146,102,16,12,26,6.5,critical
Fire,low,42,17,0,1,7,5,25.3,high
Structural Collapse,critical,40,0,0,5,9,8,22.9,medium
Chemical Spill,medium,19,0,0,0,2,2,30.4,medium
Chemical Spill,medium,4,4,0,0,0,0,26.0,medium
Medical,medium,28,0,0,2,2,4,25.4,medium
Earthquake,low,17,0,0,1,2,3,2.4,low
Fire,medium,46,0,0,9,8,0,15.1,medium
Fire,critical,166,106,0,43,17,6,5.3,critical
Medical,medium,10,0,4,1,2,0,33.8,medium
Structural Collapse,critical,234,17,11,53,90,46,10.0,critical
Medical,low,38,0,0,8,7,6,24.8,low
Medical,high,196,0,178,39,36,25,39.6,critical
Earthquake,critical,62,19,0,7,19,7,22.0,critical
Chemical Spill,low,28,0,1,6,2,2,27.1,low
Earthquake,high,78,0,0,12,22,7,20.5,medium
Medical,critical,142,0,31,5,29,25,4.8,critical
Structural Collapse,low,23,3,23,6,1,4,30.2,critical
Fire,low,48,41,41,7,3,3,23.2,critical
Flood,medium,48,15,0,2,15,7,3.9,high
Medical,high,188,0,0,0,34,30,39.2,high
Flood,critical,480,125,210,6,162,83,25.3,critical
Earthquake,high,30,0,14,3,1,4,43.0,high
Earthquake,medium,45,3,0,6,11,8,47.1,high
Fire,high,85,0,0,1,12,14,32.1,medium
Chemical Spill,medium,12,0,0,0,4,1,20.4,medium
Medical,critical,430,258,0,94,12,79,22.0,critical
Structural Collapse,low,8,0,0,0,1,0,24.3,low
Earthquake,high,12,0,0,3,1,2,1.6,low
Earthquake,low,35,0,0,7,4,4,14.0,low
Structural Collapse,medium,13,0,0,2,2,2,9.2,low
Fire,high,95,0,0,26,23,6,7.9,medium
Medical,medium,32,0,0,6,1,5,4.1,low
Medical,medium,31,0,0,1,12,4,25.9,medium
Medical,critical,101,30,8,21,28,13,44.8,critical
Medical,critical,482,0,0,111,64,7,4.1,high
Fire,critical,470,272,407,57,71,90,1.9,critical
Flood,critical,156,11,0,5,11,26,35.4,critical
Medical,critical,131,122,51,35,27,13,27.3,critical
Flood,medium,36,31,0,7,3,5,23.3,critical
Chemical Spill,high,181,0,0,14,51,19,30.7,high
Flood,medium,18,0,3,4,6,1,18.4,medium
Chemical Spill,high,182,130,42,49,67,16,1.5,critical
Medical,medium,32,4,27,4,5,2,17.1,critical
Fire,critical,40,0,0,0,7,4,29.5,medium
Medical,high,66,54,0,11,19,3,21.0,critical
Fire,critical,368,0,0,6,147,42,23.8,high
Earthquake,medium,27,0,0,1,2,4,40.4,medium
Flood,medium,14,0,0,4,3,2,26.5,medium
Flood,critical,326,137,0,33,123,47,27.1,critical
Earthquake,low,10,0,2,0,2,1,40.3,low
Structural Collapse,high,172,0,0,47,32,3,13.3,high
Structural Collapse,low,4,3,4,1,0,0,39.2,high
Medical,high,52,32,0,8,5,3,28.6,critical
Structural Collapse,medium,21,8,0,0,0,3,32.4,medium
Earthquake,low,45,0,0,5,18,2,34.4,low
Medical,low,3,0,0,0,1,0,10.2,low
Flood,low,26,0,0,3,1,0,40.1,low
Medical,high,37,16,0,1,11,1,26.0,critical
Structural Collapse,low,1,1,0,0,0,0,6.7,low
Structural Collapse,low,3,0,0,0,1,0,2.6,low
Fire,critical,180,29,40,52,3,1,30.1,critical
Fire,high,6,2,0,1,1,1,33.1,medium
Chemical Spill,low,34,0,4,5,9,0,20.2,low
Structural Collapse,critical,290,0,0,74,72,6,29.5,high
Chemical Spill,critical,203,0,92,26,36,33,7.7,critical
